flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2024-09-16,scheduled,"{'airport': 'Lishe International Airport', 'timezone': 'Asia/Shanghai', 'iata': 'NGB', 'icao': 'ZSNB', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T03:15:00+00:00', 'estimated': '2024-09-16T03:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'YTO Cargo Airlines', 'iata': 'YG', 'icao': 'HYT'}","{'number': '9021', 'iata': 'YG9021', 'icao': 'HYT9021', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Faleolo', 'timezone': 'Pacific/Apia', 'iata': 'APW', 'icao': 'NSFA', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T05:00:00+00:00', 'estimated': '2024-09-16T05:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Nadi International', 'timezone': 'Pacific/Fiji', 'iata': 'NAN', 'icao': 'NFFN', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T06:05:00+00:00', 'estimated': '2024-09-16T06:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Fiji Airways', 'iata': 'FJ', 'icao': 'FJI'}","{'number': '252', 'iata': 'FJ252', 'icao': 'FJI252', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Weihai', 'timezone': 'Asia/Shanghai', 'iata': 'WEH', 'icao': 'ZSWH', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Jinjiang', 'timezone': 'Asia/Shanghai', 'iata': 'JJN', 'icao': 'ZSQZ', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T02:05:00+00:00', 'estimated': '2024-09-16T02:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SF Airlines', 'iata': 'O3', 'icao': 'CSS'}","{'number': '7083', 'iata': 'O37083', 'icao': 'CSS7083', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Weihai', 'timezone': 'Asia/Shanghai', 'iata': 'WEH', 'icao': 'ZSWH', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T03:55:00+00:00', 'estimated': '2024-09-16T03:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Tianjin Air Cargo', 'iata': 'HT', 'icao': 'CTJ'}","{'number': '3811', 'iata': 'HT3811', 'icao': 'CTJ3811', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Haikou', 'timezone': 'Asia/Shanghai', 'iata': 'HAK', 'icao': 'ZJHK', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Nanjing Lukou International Airport', 'timezone': 'Asia/Shanghai', 'iata': 'NKG', 'icao': 'ZSNJ', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T02:45:00+00:00', 'estimated': '2024-09-16T02:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Postal Airlines', 'iata': 'CF', 'icao': 'CYZ'}","{'number': '9051', 'iata': 'CF9051', 'icao': 'CYZ9051', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Xiamen', 'timezone': 'Asia/Shanghai', 'iata': 'XMN', 'icao': 'ZSAM', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Fuzhou', 'timezone': 'Asia/Shanghai', 'iata': 'FOC', 'icao': 'ZSFZ', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T01:00:00+00:00', 'estimated': '2024-09-16T01:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Postal Airlines', 'iata': 'CF', 'icao': 'CYZ'}","{'number': '9004', 'iata': 'CF9004', 'icao': 'CYZ9004', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Darwin', 'timezone': 'Australia/Darwin', 'iata': 'DRW', 'icao': 'YPDN', 'terminal': None, 'gate': '3', 'delay': None, 'scheduled': '2024-09-16T01:30:00+00:00', 'estimated': '2024-09-16T01:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Sydney Kingsford Smith Airport', 'timezone': 'Australia/Sydney', 'iata': 'SYD', 'icao': 'YSSY', 'terminal': '3', 'gate': 'T3G', 'baggage': 'QFR', 'delay': None, 'scheduled': '2024-09-16T06:15:00+00:00', 'estimated': '2024-09-16T06:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '843', 'iata': 'QF843', 'icao': 'QFA843', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Darwin', 'timezone': 'Australia/Darwin', 'iata': 'DRW', 'icao': 'YPDN', 'terminal': None, 'gate': '3', 'delay': None, 'scheduled': '2024-09-16T01:30:00+00:00', 'estimated': '2024-09-16T01:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Sydney Kingsford Smith Airport', 'timezone': 'Australia/Sydney', 'iata': 'SYD', 'icao': 'YSSY', 'terminal': '3', 'gate': 'T3G', 'baggage': 'QFR', 'delay': None, 'scheduled': '2024-09-16T06:15:00+00:00', 'estimated': '2024-09-16T06:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air France', 'iata': 'AF', 'icao': 'AFR'}","{'number': '9689', 'iata': 'AF9689', 'icao': 'AFR9689', 'codeshared': {'airline_name': 'qantas', 'airline_iata': 'qf', 'airline_icao': 'qfa', 'flight_number': '843', 'flight_iata': 'qf843', 'flight_icao': 'qfa843'}}",,
2024-09-16,scheduled,"{'airport': 'Darwin', 'timezone': 'Australia/Darwin', 'iata': 'DRW', 'icao': 'YPDN', 'terminal': None, 'gate': '3', 'delay': None, 'scheduled': '2024-09-16T01:30:00+00:00', 'estimated': '2024-09-16T01:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Sydney Kingsford Smith Airport', 'timezone': 'Australia/Sydney', 'iata': 'SYD', 'icao': 'YSSY', 'terminal': '3', 'gate': 'T3G', 'baggage': 'QFR', 'delay': None, 'scheduled': '2024-09-16T06:15:00+00:00', 'estimated': '2024-09-16T06:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'American Airlines', 'iata': 'AA', 'icao': 'AAL'}","{'number': '7300', 'iata': 'AA7300', 'icao': 'AAL7300', 'codeshared': {'airline_name': 'qantas', 'airline_iata': 'qf', 'airline_icao': 'qfa', 'flight_number': '843', 'flight_iata': 'qf843', 'flight_icao': 'qfa843'}}",,
2024-09-16,scheduled,"{'airport': 'Darwin', 'timezone': 'Australia/Darwin', 'iata': 'DRW', 'icao': 'YPDN', 'terminal': None, 'gate': '3', 'delay': None, 'scheduled': '2024-09-16T01:30:00+00:00', 'estimated': '2024-09-16T01:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Sydney Kingsford Smith Airport', 'timezone': 'Australia/Sydney', 'iata': 'SYD', 'icao': 'YSSY', 'terminal': '3', 'gate': 'T3G', 'baggage': 'QFR', 'delay': None, 'scheduled': '2024-09-16T06:15:00+00:00', 'estimated': '2024-09-16T06:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Fiji Airways', 'iata': 'FJ', 'icao': 'FJI'}","{'number': '5290', 'iata': 'FJ5290', 'icao': 'FJI5290', 'codeshared': {'airline_name': 'qantas', 'airline_iata': 'qf', 'airline_icao': 'qfa', 'flight_number': '843', 'flight_iata': 'qf843', 'flight_icao': 'qfa843'}}",,
